Collection ID,Game ID,Name,Expansion,Version ID,Version,Status,Min Players,Max Players,Recommended Players,Best Players,Min Duration,Max Duration,Weight,Plays,Last Play,Rating,BGG Rating,Rank,Estimated Value,altnames,Publisher,Artist,Domain,Family,SuggestedAge,BggImage,Mechanisms,Categories,Designer,YearPublished
92412364,267979,Tiwanaku,-,-,-,"Own,Wanttoplay",1,4,"1,2,3,4",-,30,60,2.21,0,-,8.2,7.2,2377,39.67,,,,,,,,,,,
33487778,186475,Tofu Kingdom,-,-,-,Own,3,8,"5,6,7,8",7,10,30,1.58,0,-,8.2,6.2,8509,14.06,豆腐王國,,,,,,,,,,
-,192135,Too Many Bones,-,-,-,-,1,4,"1, 2, 3, 4",2,60,120,3.8697,0,-,-,7.85423,37,160.3,骸骨險境,Chip Theory Games,Anthony LeTourneau,Strategy Games Thematic Games,Components: 4 x 4 Grids Components: Dice with Icons Components: PVC Cards Crowdfunding: Kickstarter Digital Implementations: Tabletopia Game: Too Many Bones Players: Games with Solitaire Rules Theme: Boss Battle,12.3,192135.png,Cooperative Game Dice Rolling Die Icon Resolution Grid Movement Narrative Choice / Paragraph Resource to Move Role Playing Scenario / Mission / Campaign Game Solo / Solitaire Game Square Grid Stat Check Resolution Tech Trees / Tech Tracks Turn Order: Role Order Variable Player Powers,Adventure Dice Fantasy Fighting,Josh J. Carlson,2017
-,235802,Too Many Bones: Undertow,-,-,-,-,1,2,"1, 2",2,60,180,4.0357,0,-,-,7.40767,170,85.12,骸骨險境|第二版：暗潮湧動|獨立擴充,Chip Theory Games,Josh J. Carlson,Strategy Games Thematic Games,Components: Dice with Icons Components: PVC Cards Crowdfunding: Kickstarter Game: Too Many Bones Players: Games with Solitaire Rules Players: Two-Player Only Games,12.5,235802.jpg,"Cooperative Game Deck, Bag, and Pool Building Dice Rolling Die Icon Resolution Minimap Resolution Role Playing Solo / Solitaire Game Stat Check Resolution Tech Trees / Tech Tracks Turn Order: Role Order Variable Player Powers",Adventure Dice Fantasy Fighting,Adam Carlson,2018
143000000,210900,Topiary,-,-,-,"Own,Wanttoplay",2,4,"2,3,4",2,15,30,1.79,0,-,8,6.7,3643,13.75,,,,,,,,,,,
-,434654,Toy Battle,-,-,-,-,2,2,2,2,15,15,1.4604,0,-,-,7.07821,410,21.88,,Repos Production,Paul Mafayon,Family Games,Digital Implementations: Board Game Arena Misc: LongPack Games Players: Two-Player Only Games Players: Wargames with Rules Supporting Only Two Players Theme: Toys / Plushies / Stuffed Animals,7.17,434654.jpg,Area Majority / Influence Multiple Maps Sudden Death Ending Zone of Control,Wargame,Paolo Mori,2025
99038729,352454,Trailblazers,-,-,-,"Own,Wanttoplay",1,8,"1,2,3,4,5,6,7,8","1,2,3",30,30,1.79,0,-,9,7,2051,39.11,尋徑背包客,,,,,,,,,,
-,102680,Trajan,-,-,-,-,2,4,"2, 3, 4",4,60,120,3.6257,0,-,-,7.46377,148,37.7,圖拉真,Ammonit Spiele,Jo Hartwig,Strategy Games,Ancient: Rome Components: Map (Continental / National scale) Components: Wooden pieces & boards Digital Implementations: Boiteajeux History: Roman Empire Misc: LongPack Games Series: Book Box (DiceTree) Series: Master Print (Quined),12.51,102680.png,Area Movement Hand Management Mancala Open Drafting Set Collection,Ancient,Stefan Feld,2011
120000000,166571,Tramways,-,-,-,Wanttoplay,1,5,"1,2,3,4,5","3,4",120,120,3.81,0,-,-,7.4,1907,59.35,,,,,,,,,,,
119609274,247935,Tramways Engineer's Workbook,-,-,-,"Own,Wanttoplay",1,2,"1,2",1,10,30,3.12,0,-,7.5,7.2,5672,19.14,,,,,,,,,,,
119613790,419070,Tramways Engineer's Workbook 2,-,-,-,"Own,Wanttoplay",1,2,"1,2",1,15,45,3,0,-,-,7.9,0,0,,,,,,,,,,,
131129942,441548,Trickerion: Anniversary Edition,-,-,-,"Own,Wanttoplay",1,4,"2,3,4",-,60,180,4.5,0,-,-,8.8,0,0,魔幻傳奇：周年紀念版,,,,,,,,,,
65454978,244358,Trickerion: Dahlgaard's Academy,Y,-,-,Wanttoplay,1,4,"1,2,3,4",3,60,180,4.72,0,-,10,8.5,0,37.76,魔幻傳奇：學院擴|大魔術師：學院擴,,,,,,,,,,
34872869,163068,Trickerion: Legends of Illusion,-,-,-,"Own,Wanttoplay",2,4,"2, 3, 4",4,60,180,4.2618,0,-,10,7.53699,121,61.93,魔幻傳奇,Mindclash Games,Villő Farkas,Strategy Games,Components: Dice with Icons Components: Gems/Crystals Crowdfunding: Kickstarter Crowdfunding: Spieleschmiede Digital Implementations: Tabletopia Game: Trickerion Misc: Made by Panda Players: Games with expansions that add solo play Theme: Art style - Art Deco,14.16,163068.png,"Action Points Action Queue Catch the Leader Dice Rolling Simultaneous Action Selection Tile Placement Turn Order: Stat-Based Worker Placement Worker Placement, Different Worker Types",Post-Napoleonic,Richard Ámann,2015
-,352515,Trio,-,-,-,-,3,6,"3, 4, 5, 6","4, 5",15,15,1.0779,0,-,-,7.00804,492,23.89,回憶三重奏,Cocktail Games,Laura Michaud,Family Games,Digital Implementations: Board Game Arena Misc: LongPack Games,6.78,352515.jpg,Matching Memory Questions and Answers Set Collection,Animals Card Game Memory,宮野 華也 (Kaya Miyano),2021
-,73439,Troyes,-,-,-,-,1,4,"2, 3, 4",3,90,90,3.3743,0,-,-,7.48846,141,42.56,,Pearl Games,Alexandre Roche,Strategy Games,Cities: Troyes (France) Components: Coloured Dice Country: France Digital Implementations: Board Game Arena Game: Troyes Misc: Made by Panda Players: Games with Solitaire Rules,12.85,073439.jpg,"Area Majority / Influence Dice Rolling End Game Bonuses Events Hidden Victory Points Income Ownership Set Collection Slide / Push Solo / Solitaire Game Turn Order: Progressive Variable Set-up Worker Placement with Dice Workers Worker Placement, Different Worker Types",Dice Economic Medieval,Sébastien Dujardin,2010
142000000,282776,Tumble Town,-,-,-,Wanttoplay,1,4,"1,2,3,4",-,45,45,1.94,0,-,-,6.9,5041,17.95,,,,,,,,,,,
